_id	month	neighborhood_municipality	bivalent_booster
160628	2023-01-01	Arlington Heights (Pittsburgh)	1
160629	2023-08-01	Arlington Heights (Pittsburgh)	9
160630	2022-10-01	Aspinwall	275
160631	2022-12-01	Aspinwall	106
160632	2023-03-01	Aspinwall	18
160633	2023-05-01	Aspinwall	7
160634	2022-09-01	Baldwin Borough	270
160635	2022-11-01	Baldwin Borough	1150
160636	2023-01-01	Baldwin Borough	312
160637	2023-04-01	Baldwin Borough	56
160638	2023-06-01	Baldwin Borough	33
160639	2023-08-01	Baldwin Borough	24
160640	2023-10-01	Baldwin Borough	2
160641	2022-10-01	Baldwin Township	174
160642	2022-12-01	Baldwin Township	65
160643	2023-03-01	Baldwin Township	5
160644	2023-05-01	Baldwin Township	6
160645	2023-07-01	Baldwin Township	1
160646	2022-10-01	Banksville (Pittsburgh)	262
160647	2022-12-01	Banksville (Pittsburgh)	132
160648	2023-03-01	Banksville (Pittsburgh)	15
160649	2023-05-01	Banksville (Pittsburgh)	2
160650	2023-07-01	Banksville (Pittsburgh)	1
160651	2023-02-01	Beechview (Pittsburgh)	49
160652	2023-09-01	Beechview (Pittsburgh)	11
160653	2022-10-01	Bell Acres	114
160654	2022-12-01	Bell Acres	45
160655	2023-03-01	Bell Acres	8
160656	2023-05-01	Bell Acres	3
160657	2023-07-01	Bell Acres	2
160658	2022-10-01	Bellevue	440
160659	2022-12-01	Bellevue	201
160660	2023-03-01	Bellevue	24
160661	2023-05-01	Bellevue	15
160662	2023-07-01	Bellevue	17
160663	2023-02-01	Beltzhoover (Pittsburgh)	9
160664	2022-11-01	Ben Avon	119
160665	2023-01-01	Ben Avon	41
160666	2023-04-01	Ben Avon	5
160667	2023-06-01	Ben Avon	4
160668	2023-08-01	Ben Avon	1
160669	2023-02-01	Ben Avon Heights	4
160670	2023-02-01	Bethel Park	190
160671	2023-09-01	Bethel Park	32
160672	2022-10-01	Bloomfield (Pittsburgh)	830
160673	2022-12-01	Bloomfield (Pittsburgh)	327
160674	2023-03-01	Bloomfield (Pittsburgh)	44
160675	2023-05-01	Bloomfield (Pittsburgh)	24
160676	2023-07-01	Bloomfield (Pittsburgh)	12
160677	2023-02-01	Bluff (Pittsburgh)	10
160678	2023-02-01	Bon Air (Pittsburgh)	9
160679	2022-10-01	Brackenridge	119
160680	2022-12-01	Brackenridge	62
160681	2023-03-01	Brackenridge	8
160682	2023-05-01	Brackenridge	4
160683	2022-09-01	Braddock	10
160684	2022-11-01	Braddock	51
160685	2023-01-01	Braddock	22
160686	2023-04-01	Braddock	3
160687	2023-06-01	Braddock	3
